year,rank,title,artist,url,lyrics
1990,20,Don't Know Much,Linda Ronstadt featuring Aaron Neville,https://genius.com/Linda-ronstadt-and-aaron-neville-dont-know-much-lyrics,"[Verse 1 : Aaron Neville]
Look at this face
I know the years are showing
Look at this life
I still don't know where it's going
[Chorus: Aaron Neville]
I don't know much
But I know I love you
And that may be all I need to know
[Verse 2: Linda Ronstadt]
Look at these eyes
They never seen what matters
Look at these
Dreams so beaten and so battered
[Chorus: Aaron Neville & Linda Ronstadt]
I don't know much
But I know I love you
And that may be all I need to know
[Verse 3: Aaron Neville & Linda Ronstadt]
So many questions still left unanswered
So much I've never broken through
And when I feel you near me, sometimes I see so clearly
That only truth I'll never know is me and you"
1990,21,All Around the World,Lisa Stansfield,https://genius.com/Lisa-stansfield-all-around-the-world-lyrics,"[Intro]
I don't know where my baby is
But I'll find him, somewhere, somehow
I've got to let him know how much I care
I'll never give up looking for my baby
[Chorus]
Been around the world and I, I, I
I can't find my baby
I don't know when, I don't know why
Why he's gone away
And I don't know where he can be, my baby
But I'm gonna find him
[Verse 1]
We had a quarrel and I let myself go
I said so many things, things he didn't know
And I was oh oh so bad
And I don't think he's comin' back, mm mm
He gave the reason, the reasons he should go
And he said things he hadn't said before
And he was oh oh so mad
And I don't think he's comin', comin' back
[Pre-Chorus]
I did too much lyin', wasted too much time
Now I'm here and cryin', I, I, I"
1990,22,I Wanna Be Rich,Calloway,https://genius.com/Calloway-i-wanna-be-rich-lyrics,"Imagine
Cash cold, that's what I need
These bill collectors, they ring my phone
They bother me when I'm not at home
Ain't go no time to be fooling round
Feet will touch the floors and I get on down, you see
I want money, lots and lots of money
I want the pie in the sky
I want money, lots and lots of money
So don't be asking me why
I wanna be rich, ohh
I wanna be rich, ohh
I wanna be rich, ohh
I wanna be rich for a little love, peace and happiness
I want my cake, wanna eat it too
I want the stars and the silver moon
I spend my money on lottery
My favorite number is 1 2 3, you see
I want money, lots and lots of money
I want the pie in the sky
I want money, lots and lots of money
So don't be asking me why"
1990,23,Rub You the Right Way,Johnny Gill,https://genius.com/Johnny-gill-rub-you-the-right-way-lyrics,"[Intro]
Pump up the bass
Hey
Pump up the bass
Pump
Pump up the bass
Pump up the bass
Pump, pump, pump
Pump, pump, pump, pump
[Verse 1]
What you've been missin' in a man
I can supply it, your wish is my command
I'll work hard to fill your needs
Give you lesson on what it is to
[Pre-Chorus]
(Feel) Feel (Good) good, baby
Get undressed and slip on this robe
(Re—) Re— (—lax) —lax, darlin'
Just sit back, prepare to be stroked
[Chorus]
Can you feel the magic in my hands?
When I touch and rub you the right way
Stroke applied with tenderness
When I hold and rub you the right way"
1990,24,She Ain't Worth It,Glenn Medeiros featuring Bobby Brown,https://genius.com/Glenn-medeiros-she-aint-worth-it-lyrics,"[Intro: Bobby Brown]
Better make tracks fast on the double
The girl's jazzy, but she's nothing but trouble!
[Verse 1: Glenn Medeiros]
Take her where she wants to go
And every day you let her know
She's the one who's always on your mind
But she just got some attitude
Leads you on then leaves you blue
Can't you see she's really just a waste, of, time?
[Pre-Chorus: Glenn Medeiros]
One day she'll treat you nice
Then she'll turn as cold as ice
But you think your love will win her in the end
Think again!
[Chorus: Glenn Medeiros]
She ain't worth it, girl ain't worth it
All this grief that she's been putting you through (Ooh)
She ain't worth it, girl ain't worth it
Believe me (I know)
I know better than (Better than)
Better than (Bet-bet-better than you)"
1990,25,If Wishes Came True,Sweet Sensation,https://genius.com/Sweet-sensation-if-wishes-came-true-lyrics,"All alone
Silence fills my room
But in a memory
I hear you calling me
Close my eyes
And I'm there with you
Like it was yesterday
But then it fades away
Take me back
Turn back the hands of time
When you kissed me in the warm September rain
(Warm September rain)
Back before my heart was filled with pain
If only we could be in love that way again
If wishes came true
Then all the dreams at night of love were real
I'd be holding you
If wishes came true
Then I would be that someone
Always special in your heart
And we would still be lovers
Not apart
If wishes came true"
1990,26,The Power,Snap!,https://genius.com/Snap-the-power-lyrics,"[Spoken Intro]
""Американская фирма Transceptor Technology приступила к производству компьютеров «Персональный спутник».""
[Intro: Penny Ford]
I've got the power (Power, power)
Hey, yeah-eah
[Verse 1: Turbo B]
Like the crack of the whip, I Snap! attack
Front to back, in this thing called rap
Dig it like a shovel, rhyme devil on a heavenly level
Bang the bass, turn up the treble
Radical mind, day and night all the time
7:14
, wise, divine
Maniac brainiac, winnin' the game
I'm the lyrical Jesse James
[Pre-Chorus: Penny Ford]
Oh-oh-oh-oh, oh-oh-oh, yeah, yeah, yeah-eah
Oh-oh-oh-oh, oh-oh-oh, yeah, getting kinda heavy
[Chorus: Turbo B]
It's getting, it's getting, it's getting kinda heavy
It's getting, it's getting, it's getting kinda heavy
It's getting, it's getting, it's getting kinda heavy
It's getting, it's getting, it's getting kinda heavy"
1990,27,(Can't Live Without Your) Love and Affection,Nelson,https://genius.com/Nelson-cant-live-without-your-love-and-affection-lyrics,"(Here she comes) Mmm, just like an angel
Seems like forever that she's been on my mind
But nothing has changed
She thinks I'm a waste of her time
(There she goes) she don't know what she's missing
Can't she see I'll never give up the fight
I'll do all I can
Till she understands my desire
I've been on the outside looking in
Let me into your heart, oh
There's nothing on earth that should keep us apart
Baby
I can't live without your love and affection
I can't face another night on my own
I'd give up my pride to save me from being alone
'Cause I can't live without your love
Mmm, your love
(So I wait) Here for an answer
And wonder if tomorrow will be like yesterday
I'll keep holding on
Can't go on living this way, baby"
1990,28,Love Will Lead You Back,Taylor Dayne,https://genius.com/Taylor-dayne-love-will-lead-you-back-lyrics,"[Verse 1]
Saying goodbye is never an easy thing
But you never said, that you'd stay forever
So if you must go
Well, darling, I'll set you free
But I know in time that we'll be together
[Pre-Chorus]
I won't try to stop you now from leaving
'Cause in my heart, I know
[Chorus]
Love will lead you back
Someday, I just know that
Love will lead you back to my arms
Where you belong
I'm sure, sure as stars are shining
One day, you will find me again
It won't be long
One of these days
Our love will lead you back
[Verse 2]
One of these nights
Well, I'll hear your voice again
You're gonna say, oh, how much you miss me
You'll walk out this door
But someday you'll walk back in
But darling, I know
I know this will be"
1990,29,Don't Wanna Fall in Love,Jane Child,https://genius.com/Jane-child-dont-wanna-fall-in-love-lyrics,"[Verse 1]
Ain't no personal thing, boy
But you have got to stay away
Far, far away from my heart, my heart
Don't you know what your kiss is doing?
Let me tell it to you from the start, boy
[Chorus]
I don't wanna fall in love (No, no)
Love cuts just like a knife (Woo, woo)
You make the knife feel good (Baby)
I'll fight you to the end (Baby)
[Verse 2]
You've been hanging around, boy
And you have started sinking in
Woo, baby, you're way out of line now
Unaware how this all got started
Let me tell it you one more time, boy
[Chorus]
I don't wanna fall in love (No, no)
Love cuts just like a knife (Woo, woo)
You make the knife feel good (Baby)
I'll fight you to the end, baby
I don't wanna fall in love (No, no)
Love cuts just like a knife (Woo, woo)
You make the knife feel good (Baby)
I'll fight you to the end"
