year,rank,title,artist,url,lyrics
1980,31,Don't Fall in Love with a Dreamer,Kenny Rogers & Kim Carnes,https://genius.com/Kenny-rogers-dont-fall-in-love-with-a-dreamer-lyrics,"[Verse 1]
Just look at you sitting there
You never looked better than tonight
And it would be so easy to tell you I'd stay
Like I've done so many times
[Verse 2]
I was so sure that this would be the night
You'd close the door and wanna stay with me
And it'd be so easy to tell you I'd wait
Like I've done so many times
[Chorus]
Don't fall in love with a dreamer
'Cause he'll always take you in
Just when you think you've really changed him
He'll leave you again
Don't you fall in love with a dreamer
'Cause he'll break you every time
Put out the light and just hold on
Before we say goodbye
[Verse 3]
Now it's morning, the phone rings
And you say you've gotta get your things together
You just gotta leave before you change your mind
And if you knew what I was thinking girl
I'd turn around if you'd just ask me one more time"
1980,32,Sailing,Christopher Cross,https://genius.com/Christopher-cross-sailing-lyrics,"[Verse 1]
Well, it's not far down to paradise
At least it's not for me
And if the wind is right, you can sail away
And find tranquility
Oh, the canvas can do miracles
Just you wait and see
Believe me
[Verse 2]
It's not far to never never land
No reason to pretend
And if the wind is right, you can find the joy
Of innocence again
Oh, the canvas can do miracles
Just you wait and see
Believe me
[Chorus]
Sailing
Takes me away to where I've always heard it could be
Just a dream and the wind to carry me
Soon, I will be free
[Verse 3]
Fantasy
It gets the best of me
When I'm sailing
All caught up in the reverie
Every word is a symphony
Won't you believe me?"
1980,33,Longer,Dan Fogelberg,https://genius.com/Dan-fogelberg-longer-lyrics,"Longer than there've been fishes in the ocean
Higher than any bird ever flew
Longer than there`ve been stars up in the heavens
I've been in love with you
Stronger than any mountain cathedral
Truer than any tree ever grew
Deeper than any forest primeval
I am in love with you
I'll bring fire in the winters
You'll send showers in the springs
We`ll fly through the falls and summers
With love on our wings
Through the years as the fire starts to mellow
Burning lines in the book of our lives
Though the binding cracks and the pages start to yellow
I'll be in love with you
I'll be in love with you
Longer than there've been fishes in the ocean
Higher than any bird ever flew
Longer than there`ve been stars up in the heavens
I've been in love with you
I am in love with you"
1980,34,Coward of the County,Kenny Rogers,https://genius.com/Kenny-rogers-coward-of-the-county-lyrics,"[Verse 1]
Everyone considered him the coward of the county
He'd never stood one single time to prove the county wrong
His mama named him Tommy, but folks just called him yellow
Something always told me they were reading Tommy wrong
[Verse 2]
He was only ten years old when his daddy died in prison
I looked after Tommy 'cause he was my brother's son
I still recall the final words my brother said to Tommy
""Son, my life is over, but yours has just begun""
[Chorus]
Promise me, son, not to do the things I've done
Walk away from trouble if you can
Now it don't mean you're weak if you turn the other cheek
I hope you're old enough to understand
Son, you don't have to fight to be a man
[Verse 3]
There's someone for everyone, and Tommy's love was Becky
In her arms he didn't have to prove he was a man
One day while he was working, the Gatlin boys came calling
They took turns at Becky, n'there was three of them
Tommy opened up the door and saw his Becky crying
The torn dress, the shattered look was more than he could stand
He reached above the fireplace, took down his daddy's picture
As a tear fell on his daddy's face, he heard these words again"
1980,35,Ladies' Night,Kool & the Gang,https://genius.com/Kool-and-the-gang-ladies-night-lyrics,"[Intro]
Mmm, oh yeah, oh what a night
[Chorus]
Oh yes, it's ladies' night
And the feeling's right
Oh yes, it's ladies' night
Oh, what a night (Oh, what a night)
Oh yes, it's ladies' night
And the feeling's right
Oh yes, it's ladies' night
Oh, what a night
[Verse 1]
Girls, y'all got the one (What?)
A night that's special everywhere
From New York, to Hollywood
It's ladies' night, and girl the feeling's good
[Chorus]
Oh yes, it's ladies' night
And the feeling's right
Oh yes, it's ladies' night
Oh, what a night (Oh, what a night)
Oh yes, it's ladies' night
And the feeling's right
Oh yes, it's ladies' night
Oh, what a night"
1980,36,Too Hot,Kool & the Gang,https://genius.com/Kool-and-the-gang-too-hot-lyrics,"[Verse 1]
At seventeen, we fell in love
High school sweethearts, love was so brand new
We took the vows of man and wife
Forever, for life
[Pre-Chorus]
I remember how we made our way
A little patience, the time we prayed
Can't imagine that this love is through
Feelin' the pain, girl, when you lose
[Chorus]
Oh, it's too hot (Too hot)
Too hot, lady (Too hot)
Gotta run for shelter
Gotta run for shade
It's too hot (Too hot)
Too hot, lady (Too hot)
We gotta cool this anger
What a mess we've made
So long ago
You were my love, oh, my love
[Verse 2]
Flyin' high, we never took the time
To stop and feel the need
Funny how those years go by
Changing you, changing me"
1980,37,Take Your Time (Do It Right),The S.O.S. Band,https://genius.com/The-sos-band-take-your-time-do-it-right-lyrics,"[Intro]
Let's do it
Let's do it
Let's do it
Let's do it
Oo-ooh, baby
Let's do it
Take your time
Let's do it
Come on, baby
Oo-ooh, baby
Let's do it
Take your time
Let's do it
[Verse 1]
You know you ought to slow down
You've been working too hard and that's a fact
Sit back and relax a while
Take some time to laugh and smile
Lay your heavy load down
So we can stop and kick back
It seems we never take the time to do
All the things we want to, yeah
[Chorus]
Now, baby we can do it
Take the time, do it right
We can do it, baby
Do it tonight
Baby, we can do it
Take the time, do it right
We can do it, baby
Do it tonight
Baby, we can do it
Take the time, do it right
We can do it, baby
Do it tonight
Baby, we can do it
Take the time, do it right
We can do it, baby
Do it tonight"
1980,38,No More Tears (Enough Is Enough),Barbra Streisand & Donna Summer,https://genius.com/Barbra-streisand-no-more-tears-enough-is-enough-lyrics,"[Verse 1: Barbra Streisand, 
Donna Summer
]
Hmm, hmm-hmmm, ooh-ooh, ooh
It's raining, it's pouring
My love life is boring me to tears
After all these years
No sunshine, no moonlight
No stardust, no sign of romance
We don't stand a chance
[Verse 2: Barbra Streisand, 
Donna Summer
, 
Barbra Streisand & Donna Summer
]
I've always dreamed I'd find the perfect lover
But he turned out to be lLike every other man
I've loved, I've loved
Raining (
Raining
)
Pouring (
Pouring
)
There's nothing left for us here
 Mm-mm, hmm-mmm
And we won't waste another
 tear
 
Uh-huh, uh-huh, yeah
[Verse 3: Barbra Streisand, 
Donna Summer
, 
Barbra Streisand & Donna Summer
]
If you've had enough, don't put up with his stuff
Don't you do it
If you've had your fill, get the check, pay the bill
You can do it
Tell him to just get out
Nothing left to talk about
Pack his raincoat, show him out
Just look him in the eye and simply shout"
1980,39,More Love,Kim Carnes,https://genius.com/Kim-carnes-more-love-lyrics,"Let it be soon don't hesitate
Make it now don't wait
Open your heart and let my love come in
I want the moment to start
When I can fill your heart with
More love and more joy
Than age or time could ever destroy
Oh honey now my love will be so sound
It'll take a hundred life times
To live it down
Wear it down
Tear it down
This is no fiction this is no act
This is real it's a fact
I'll always belong only to you
Each day I'll be living to
Make sure I'm giving you
More love and more joy
Than age or time could ever destroy
Oh honey now my love will be so sound
It'll take a hundred life times
To live it down
Wear it down
Tear it down"
1980,40,Pop Muzik,M,https://genius.com/M-robin-scott-pop-muzik-lyrics,"[Intro]
(Pop, pop, pop muzik)
(Pop, pop, pop muzik)
Get up, get down
(Pop, pop, pop muzik)
(Pop, pop, pop muzik)
[Verse 1]
Radio, video
Boogie with a suitcase
You're living in a disco
Forget about the rat race
Let's do the Milkshake
Selling like a hotcake
Try some, buy some
Fee-fi-fo-fum
Talk about pop muzik
Talk about pop muzik
[Pre-Chorus 1]
(Shoobie-doobie-doo-wop)
I want to dedicate it
(Pop, pop, shoo-wop)
Everybody made it
(Shoobie-doobie-doo-wop)
Infiltrate it
(Pop, pop, shoo-wop)
Activate it"
